"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LGHWCKAB","journalArticle","2018","Borghetto, Enrico","Challenger parties in Parliament: the case of the Italian Five Star Movement","Italian Political Science","","2420-8434","","http://italianpoliticalscience.com/index.php/ips/article/view/85","In 2013, the Five Star Movement (M5S) won representation for the first time in the Italian parliament, the heart of the institutions they criticised and aimed to reform. With parliamentary ranks filled mostly with inexperienced politicians and a strong identification with the role of outsiders challenging the mainstream political consensus, the expectation is that their opposition style should differ substantially from that of other parties. This article explores this question by comparing the policy content of oral parliamentary questions submitted by the M5S with that of other Italian opposition parties during the 17th legislature (2013-2018). It analyses to what extent the M5S’s issue profile 1) overlaps more with parties of either the left or the right side of the political spectrum, 2) is more likely to deal with matters emphasised in its electoral platform, and 3) is more likely to address issues not attended to by other parties. The results provide new insights into the behaviour of new challenger parties in parliament.","2018","2019-03-18 10:33:14","2020-07-02 08:55:03","2019-03-18 10:33:14","19-32","","3","13","","1","Challenger parties in Parliament","","","","","","","en","Copyright (c) 2018 Italian Political Science","","","","italianpoliticalscience.com","","","","/Users/eborghetto/Documents/Zotero/storage/A4BXXQ3J/Borghetto_2018_Challenger parties in Parliament.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJCVS83J","journalArticle","2020","Borghetto, Enrico; Santana‐Pereira, José; Freire, André","Parliamentary Questions as an Instrument for Geographic Representation: The Hard Case of Portugal","Swiss Political Science Review","","1424-7755, 1662-6370","10.1111/spsr.12387","https://onlinelibrary.wiley.com/doi/abs/10.1111/spsr.12387","This article asks whether and why, in a system lacking electoral incentives to cultivate personal votes, MPs might choose to signal to geographic constituents. It explores this question by analysing the number of written parliamentary questions submitted to the Portuguese parliament on two issues – unemployment and crime – between 2009 and 2015, and asking if MPs are more inclined to table questions on speciﬁc issues when their districts suffer particularly from related problems. The article ﬁnds evidence that constituency-level problem pressure does matter for the signalling activities of MPs, although policy specialization remains the main driver of their issue emphasis. This ﬁnding contributes new knowledge to the ongoing debate on the factors accounting for the representative relationship between MPs and constituents, by drawing attention to the importance of district-level problem pressure as one of the drivers of issue sponsorship in parliament.","2020-03","2019-11-20 10:40:06","2020-07-02 08:54:19","2020-03-12 09:06:20","10-30","","1","26","","Swiss Polit Sci Rev","Parliamentary Questions as an Instrument for Geographic Representation","","","","","","","en","All rights reserved","","","","DOI.org (Crossref)","","","","/Users/eborghetto/Documents/Zotero/storage/4TN5A9P7/Borghetto et al_2020_Parliamentary Questions as an Instrument for Geographic Representation.pdf; /Users/eborghetto/Documents/Zotero/storage/J2AW7TLW/Borghetto et al. - 2020 - Parliamentary Questions as an Instrument for Geogr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXKNQGA4","journalArticle","2018","Borghetto, Enrico","Delegated decree authority in a parliamentary system: the exercise of legislative delegation in Italy (1987–2013)","The Journal of Legislative Studies","","1357-2334","10.1080/13572334.2018.1439441","https://doi.org/10.1080/13572334.2018.1439441","The substantial increase in the delegation of legislative powers from the parliament to the executive has been singled out as one of the most prominent changes in the Italian political system of the last three decades. It has given traditionally weak executives the opportunity to adopt significant reforms while bypassing the notorious fetters of the ordinary legislative process. While the literature has to date focused on the motivations to delegate, there is still a research gap on what the executive does with the delegated authority. Based on a newly collected data set covering all delegation provisions adopted from 1987 to 2013, this article analyses why, in a remarkable number of cases, the cabinet did not use the delegations. Results show that the existence of an agreement on the policy in question (as captured by the precision of delegating criteria), as well as the complexity and timing of the delegation have a significant impact on the likelihood a delegation is used.","2018-04-03","2018-07-02 09:02:35","2020-07-02 08:55:40","2018-07-02 09:02:35","179-196","","2","24","","","Delegated decree authority in a parliamentary system","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","","","/Users/eborghetto/Documents/Zotero/storage/TYJY3TKR/Borghetto_2018_Delegated decree authority in a parliamentary system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVUV29YV","journalArticle","2018","Borghetto, Enrico; Carammia, Marcello; Russo, Federico","Policy agendas in Italy: introduction to the special issue","Italian Political Science Review / Rivista Italiana di Scienza Politica","","0048-8402, 2057-4908","10.1017/ipo.2018.17","https://www.cambridge.org/core/journals/italian-political-science-review-rivista-italiana-di-scienza-politica/article/policy-agendas-in-italy-introduction-to-the-special-issue/2A351DAC1FD3B77D672FB41D025EE2A4","Policy agendas studies analyse the dynamics of attention to policy issues over time and across actors and institutions to obtain insights into the functioning of political systems. The articles in this special issue draw on this approach to investigate key aspects of the Italian political system, with a special emphasis on the period spanning from the political crisis of the early 1990s to the watershed elections of 2013. They analyse a broad range of institutional and policy venues, including public opinion, political parties, the executive, the Parliament, and the Constitutional Court. While single articles address different research questions and focus on different institutions, they all share a focus on the dynamics of issue attention over time. This introduction provides a summary overview of the theoretical and methodological tools employed in the volume, highlighting how the study of policy agendas can contribute to the understanding of political systems and their change over time. It then summarises the main findings of single articles which, taken together, shed new light on several classic questions that have been widely debated in the literature on the evolution of the Italian political system.","2018-11","2019-01-10 17:16:58","2020-07-02 08:55:16","2019-01-10 17:16:58","265-274","","3","48","","","Policy agendas in Italy","","","","","","","en","All rights reserved","","","","Cambridge Core","","","","/Users/eborghetto/Documents/Zotero/storage/GIZP99CP/Borghetto et al_2018_Policy agendas in Italy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZFLY6B6","journalArticle","2018","Carammia, Marcello; Borghetto, Enrico; Bevan, Shaun","Changing the transmission belt: the programme-to-policy link in Italy between the First and Second Republic","Italian Political Science Review / Rivista Italiana di Scienza Politica","","0048-8402, 2057-4908","10.1017/ipo.2018.13","https://www.cambridge.org/core/journals/italian-political-science-review-rivista-italiana-di-scienza-politica/article/changing-the-transmission-belt-the-programmetopolicy-link-in-italy-between-the-first-and-second-republic/FBE0D4B6512AF093B87B05C3925E24CF","This article analyses the transmission of policy priorities from electoral campaigns to legislative outputs under different institutional configurations. Taking an agenda-setting approach, the article tests whether a mandate effect exists, if incumbents also uptake the priorities of their competitors, and whether and how the introduction of alternation in government impacts on these dynamics. The analysis relies on data sets of the Italian Agendas Project recording the issue content of party manifestos and laws and covering the period 1983–2012. The results of time series cross-sectional models lend support to the presence of a mandate effect in Italy, a mechanism which was strengthened after the introduction of alternation in government. Opposition priorities may have an impact on the legislative agenda, but mostly when considering the legislation initiated in Parliament. Our findings have important implications for the understanding of the impact of government alternation, an institutional feature underlying – with varying intensity – most democracies, on the functioning of democratic representation.","2018-11","2019-01-10 17:15:29","2020-07-02 08:55:16","2019-01-10 17:15:29","275-288","","3","48","","","Changing the transmission belt","","","","","","","en","All rights reserved","","","","Cambridge Core","","","","/Users/eborghetto/Documents/Zotero/storage/VMPUQDIH/Carammia et al_2018_Changing the transmission belt.pdf; /Users/eborghetto/Documents/Zotero/storage/SXX33F9A/Carammia et al_2018_Changing the transmission belt.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZR5T5EW","journalArticle","2010","Borghetto, Enrico; Franchino, Fabio","The role of subnational authorities in the implementation of EU directives","Journal of European Public Policy","","1350-1763","10.1080/13501763.2010.486972","https://doi.org/10.1080/13501763.2010.486972","Studies on the role of regions in the EU policy process concentrate mainly on policy formulation and implementation of regional funds. In this article, we redress this bias by investigating the formal role of subnational authorities in the implementation of EU regulatory policies, specifically in the transposition of directives. Subnational authorities play a secondary, but increasingly important, role in the application of these measures. Their impact is greater on environmental and social policies, as it is also on public contract legislation. More decentralized states display higher levels of subnational involvement but, in these states, regional participation in national policy-making and a high number of regional authorities decrease the likelihood of finding subnational measures of transposition. There is also more subnational involvement in states with territories that have both an elected government as well as special arrangements regulating their relations with the EU. Finally, subnational involvement tends to prolong the process of transposition.","2010-09-01","2009-03-30 21:30:48","2020-07-02 08:50:53","2019-07-23 20:00:08","759-780","","6","17","","","","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","","","/Users/eborghetto/Documents/Zotero/storage/CE35QMTG/Borghetto_Franchino_2010_The Role of Subnational Authorities in the Implementation of EU Directives.pdf; /Users/eborghetto/Documents/Zotero/storage/XMG596WB/Borghetto_Franchino_2010_The role of subnational authorities in the implementation of EU directives.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N94MDTPY","journalArticle","2006","Borghetto, Enrico; Franchino, Fabio; Giannetti, Daniela","Complying with the transposition deadlines of EU directives. Evidence from Italy","Rivista Italiana di Politiche Pubbliche","","1722-1137","10.1483/21752","","","2006","2009-03-30 21:30:48","2020-07-02 08:50:53","","7-38","","1/2006","","","PP","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto et al_2006_Complying with the transposition deadlines of EU directives.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IRH5INF","book","2013","Borghetto, Enrico","Keeping the pace with Europe: Non-compliance with the transposition deadline of EU directives in the Italian case","","978-88-98014-13-2","","","","","2013","2013-08-25 18:03:27","2020-07-02 08:58:24","","","","","","","","","","","","","Epoke Edizioni","Novi Ligure","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/E3CS5WD7/Borghetto_2013_Keeping the pace with Europe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4H38FFA","journalArticle","2020","Borghetto, Enrico; Sevenans, Julie; Grossman, Emiliano","Parliament’s (lack of) agenda-setting power over the executive decision agenda: evidence from Belgium, France and Portugal","Brazilian Journal of Public Administration","","1982-3134","","http://bibliotecadigital.fgv.br/ojs/index.php/rap/article/view/82401","","2020-11-27","2020-11-28 21:43:33","2020-11-28 21:44:57","2020-11-28 21:43:35","1588-1612","","6","54","","Rev. Adm. Pública","(A falta de) Poder de definição de agenda do parlamento sobre a agenda de decisões executivas","","","","","","","pt","Copyright (c) 2020 Revista de Administração Pública","","","","bibliotecadigital.fgv.br","","Number: 6","","/Users/eborghetto/Documents/Zotero/storage/4UW6JBS6/Borghetto et al_2020_Parliament’s (lack of) agenda-setting power over the executive decision agenda.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIHHPGV9","journalArticle","2021","Borghetto, Enrico","L'intervento parlamentare nel processo di conversione dei decreti-legge ""pandemici""","Il Filangieri","","1825-0432","","","","2021","2021-02-14 15:53:30","2021-02-14 17:07:13","","13-27","","","Quaderno 2020","","","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/RJ35Q5V2/Borghetto_2021_L'intervento parlamentare nel processo di conversione dei decreti-legge.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQMFPZ3C","journalArticle","2021","Epp, Derek A.; Borghetto, Enrico","Legislative agendas during periods of inequality: evidence from Europe and the United States","Journal of European Public Policy","","1350-1763","10.1080/13501763.2020.1734060","https://doi.org/10.1080/13501763.2020.1734060","This article investigates the relationship between economic inequality and legislative agendas. It argues that rising inequality makes agenda setting especially vulnerable to the influence of economic elites, and that elites use their influence to keep redistributive policies from receiving governmental attention. Empirical tests use data on public laws and bills introduced in the legislatures of five European countries between 1981 and 2012, and the United States between 1948 and 2015. As inequality becomes more acute, we observe a migration in legislative attention away from issues dealing with the social safety-net. These effects are more pronounced earlier in the policy process, which is consistent with the idea that elites can act as gatekeepers of legitimate policy ideas. These findings suggest that economic stratification shapes the policymaking debate in ways that make redistribution less likely.","2021-04-03","2020-02-23 18:44:50","2021-03-22 10:47:13","2021-03-22 10:46:53","532-550","","4","28","","","Legislative agendas during periods of inequality","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13501763.2020.1734060","","/Users/eborghetto/Library/CloudStorage/Dropbox/Comparative/cofog_eu/literature/Epp_Borghetto_2021_Legislative agendas during periods of inequality.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7HNW5WB","journalArticle","2022","Tsatsanis, Emmanouil; Borghetto, Enrico; Freire, André; Montero, José Ramón","Generational and Ideological Gaps in Democratic Support: Seeds of Deconsolidation in Post-Crisis Southern Europe?","South European Society and Politics","","1360-8746","10.1080/13608746.2021.2016245","https://doi.org/10.1080/13608746.2021.2016245","This article explores trends in overall levels of democratic support in Portugal, Spain, Italy, and Greece. Additionally, the article examines the extent to which the experience of the steep economic downturn in Southern Europe had specific effects on democratic support across different generations and ideological groups by examining survey data that span three decades. The evidence is mixed concerning the resilience of democratic values in the four South European countries, ranging from stability in Portugal to noticeable decline in Italy. Members of the ‘millennial’ generation appear to be more susceptible to the period effect of the crisis, whereas left-wing and centrist citizens are more likely to select democracy as the best form of government compared to right-wing citizens.","2022-01-24","2022-01-25 07:18:40","2022-12-02 15:13:35","2022-01-25 07:18:40","133-151","","2","26","","","Generational and Ideological Gaps in Democratic Support","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13608746.2021.2016245","","/Users/eborghetto/Documents/To_read/Tsatsanis et al. - 2022 - Generational and Ideological Gaps in Democratic Support Seeds of Deconsolidation in Post-Crisis Sou.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33CHBQF2","bookSection","2022","Borghetto, Enrico; Marangoni, Francesco","La capacità del governo in Italia: un rafforzamento incompiuto","Il sistema politico Italiano: cittadini, attori e istituzioni","","","","","","2022","2022-08-22 09:51:50","2022-08-22 09:53:56","","231-156","","","","","","","","","","","Mondadori","Milano","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/To_read/Borghetto and Marangoni - 2022 - La capacità del governo in Italia un rafforzamento incompiuto.pdf","","","","Baldini, Gianfranco; Pritoni, Andrea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NK4C938W","journalArticle","2023","Bevan, x\; Borghetto, Enrico; Seeberg, Henrik","Do different parties respond to different problems? A comparative study of parliamentary questions across multiple countries","Journal of European Public Policy","","1350-1763","10.1080/13501763.2023.2193583","https://doi.org/10.1080/13501763.2023.2193583","The identification of problem information is an important driver of political attention in parliament. This is widely acknowledged in the literature on party competition but there has been surprisingly little empirical research on the extent and when it matters. By relying on an extensive cross-country data set matching data on the policy content of parliamentary oral questions from ten European parliamentary democracies with well-established problem indicators (economy, immigration, and terrorism), this study sets out to answer these important questions. Our time series analysis reveals that not all problem indicators drive political attention in parliament to the same extent and that responsiveness varies based on differences in how government and opposition parties strategically take up problems as well as a partisan logic between left and right parties. While real world problem indicators can be a strong driver of parliamentary attention, that drive is still filtered through political and institutional processes.","2023-03-31","2023-04-02 07:47:51","2024-05-30 09:58:02","2023-04-02 07:47:51","1-23","","0","0","","","Do different parties respond to different problems?","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13501763.2023.2193583","","/Users/eborghetto/Documents/Zotero/storage/Bevan et al_2023_Do different parties respond to different problems2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5PW4NBF","journalArticle","2023","Borghetto, Enrico","Virtual Parliament in Italy: if not now, when? The debate about a virtual Parliament during the pandemic emergency","Interdisciplinary Political Studies","","","10.1285/i20398573v9n1p5","","The emergence and spread of the Covid-19 emergency in Italy, as in the rest of the world, required parliaments to balance two priorities: ensuring the continuity of parliamentary work and protecting the health of their members and staff. If, in some legislative assemblies, the difficult balance between the right to health and the functioning of parliamentary institutions has been pursued through the implementation of measures that contemplate the use of remote participation and voting, the choices made by the Italian chambers have been more conservative, never coming to favor such solutions, at least in the plenary. This paper contributes to the debate on the digitization of parliamentary assemblies by analyzing the political reasons behind the decision to maintain the status quo in Italy, a country where the containment measures to limit the spread of Covid-19 were among the strictest in the world.","2023","2023-07-26 10:16:32","2023-08-12 07:07:07","","5-19","","1","9","","","","","","","","","","en","All rights reserved","","","","Zotero","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto_2023_Virtual Parliament in Italy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDECNQQC","journalArticle","2024","Borghetto, Enrico; Improta, Marco; Marangoni, Francesco","Coalition politics under exceptional exogenous constraints: the Meloni government during the EU-financed economic recovery plan","South European Society and Politics","","1360-8746","10.1080/13608746.2024.2413852","https://doi.org/10.1080/13608746.2024.2413852","Since its inauguration, the coalition dynamics characterizing the Meloni government have been interrelated with managing one of the largest investment plans in Italian history: the Next Generation EU-funded recovery plan. This windfall represents both a historic opportunity for economic revitalization and an unprecedented external constraint for Italy. By linking two established research agendas, the coalition life cycle and the Europeanisation of domestic politics, this study examines the extent to which external constraints arising from EU membership may have affected coalition governance. Using a longitudinal design spanning almost three decades (1996-2023), the study finds that the implementation of the recovery plan is associated both with new trends and the accentuation of existing ones, including the strengthening of the prime minister’s role.","2024","2024-11-24 10:25:37","2024-11-24 10:45:04","2024-11-24 10:25:37","1-21","","0","0","","","Coalition politics under exceptional exogenous constraints","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13608746.2024.2413852","","/Users/eborghetto/Documents/To_read/Borghetto et al. - 2024 - Coalition politics under exceptional exogenous constraints the Meloni government during the EU-fina.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"664PPL46","journalArticle","2025","Borghetto, Enrico; Quaglia, Lucia; Guardiancich, Igor","Reform Agendas in National Recovery and Resilience Plans: Partisan Politics and Domestic Usages of Europe","JCMS: Journal of Common Market Studies","","1468-5965","10.1111/jcms.13738","https://onlinelibrary.wiley.com/doi/abs/10.1111/jcms.13738","This article examines the agency of national executives in shaping the reform agendas within the National Recovery and Resilience Plans (NRRPs) under the EU's Recovery and Resilience Facility (RRF). Through a comparative analysis of NRRPs drafting in Germany, France, Italy and Spain, and an in-depth longitudinal study of Italy, we argue that the partisan profile of national executives, to a significant extent, accounts for which reforms were included in the respective national plans, while the domestic usage of Europe by national executives explains how they went about embedding those reforms in the NRRPs. In terms of research design, we first match the reform priorities outlined in the political manifestos of the governing parties and those included in the NRRPs. Second, through a systematic analysis of press coverage, we sketch out how national executives leveraged (or not) Europe domestically during the drafting of their respective plans. Our findings contribute to shed light on the interplay between domestic political dynamics and EU-level requirements, demonstrating how governments navigated the tension between fulfilling their electoral mandates, building domestic support for their reform agendas and adhering to EU guidelines and constraints.","2025","2025-03-28 07:39:02","2025-03-28 07:40:15","2025-03-28 07:39:02","","","n/a","n/a","","","Reform Agendas in National Recovery and Resilience Plans","","","","","","","en","All rights reserved","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jcms.13738","","/Users/eborghetto/Documents/To_read/Borghetto et al. - 2025 - Reform Agendas in National Recovery and Resilience Plans Partisan Politics and Domestic Usages of E.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDWQZJ49","journalArticle","2025","Borghetto, Enrico; Manucci, Luca; Epp, Derek A.","Is the populist Robin Hood a fairy tale? Parliamentary attention to social welfare","Journal of European Public Policy","","1350-1763","","https://www.tandfonline.com/doi/abs/10.1080/13501763.2025.2490809","In the aftermath of the Great Recession, populist parties rose to prominence across Europe, campaigning on the promise to do something about growing economic inequality by funding social welfare pr...","2025-04-16","2025-05-01 11:31:38","2025-05-01 11:31:38","2025-05-01 11:31:38","","","","","","","Is the populist Robin Hood a fairy tale?","","","","","","","EN","© 2025 Informa UK Limited, trading as Taylor & Francis Group","","","world","www.tandfonline.com","","Publisher: Routledge","","/Users/eborghetto/Documents/To_read/Borghetto et al. - 2025 - Is the populist Robin Hood a fairy tale Parliamentary attention to social welfare.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AGEEQBD","journalArticle","2025","Guardiancich, Igor; Guidi, Mattia; Borghetto, Enrico; Quaglia, Lucia","Stronger conditionality for stronger compliance? Analysing the NGEU’s effect on the implementation of European semester recommendations","Journal of European Public Policy","","1350-1763","10.1080/13501763.2025.2502088","https://doi.org/10.1080/13501763.2025.2502088","This study examines the capacity of the European Union (EU) to influence policy change in its member states by focusing on the impact of EU conditionality under the Recovery and Resilience Facility (RRF) introduced as part of the Next Generation EU (NGEU) package adopted in response to COVID-19 pandemic. Using data on the evaluations of the implementation of the 2019–2020 country-specific recommendations (CSRs) before (2021) and after (2022–2024) the official start of the programme, we assess to what extent the RRF conditionality impacts the effectiveness of the European Semester. The findings of our statistical analysis indicate that the amount of RRF funding received, relative to GDP, is significant for compliance. Other factors play a role: a higher problem load, measured by the average yearly CSRs from 2011 to 2019, and sector-specific challenges, like those in energy, negatively impacted policy implementation. Conversely, countries with an initially lower compliance with the Commission’s recommendations received more favourable evaluations. Similarly, reforms concerning financial and fiscal governance performed better than average. This paper contributes to the literature on the implementation of the RRF and its impact on the reshaping of EU economic governance by demonstrating that it has improved compliance with CSRs, underpinning domestic reform efforts.","2025","2025-05-13 09:00:46","2025-05-13 09:01:55","2025-05-13 09:00:46","1-25","","0","0","","","Stronger conditionality for stronger compliance?","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13501763.2025.2502088","","/Users/eborghetto/Documents/Zotero/storage/Guardiancich et al. - Stronger conditionality for stronger compliance Analysing the NGEU’s effect on the implementation o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJI46USL","bookSection","2023","Borghetto, Enrico","EU Talks. Dialoghi sul futuro dell’Europa","Una Unione di Cittadini. La costruzione della cittadinanza europea attraverso la partecipazione e la formazione.","979-12-211-0501-8","","","","","2023","2025-06-26 14:34:54","2025-06-26 14:39:04","","115-118","","","","","","","","","","","Giappichelli","","","","","","","","","","","/Users/eborghetto/Documents/To_read/Borghetto - 2023 - EU Talks. Dialoghi sul futuro dell’Europa 1.pdf","","","","Adinolfi, Adelina; Lazzerini, Nicole","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
